                 Наименование вещества                ;  N CAS   ;Формула; Величина ПДК, мг/л  ;Лимитирующий показатель вредности      ;Класс опасности
 1,2-Дибромпропан                                     ;  78-75-1   ;CHBr               ;0,1;    с.-т.         ;3
 1,2-Дибром-1,1,5-трихлорпентан                       ;19792-94-0  ;CHBrCl             ;0,04;  орг.зап.        ;3
 1,2-Дибром-З-хлорпропан                              ;  96-12-8   ;СНВгСl             ;0,001;    с.-т.         ;1
 Дибутиламин                                          ; 111-92-2   ;CHN                ;1;  орг.зап.        ;3
 Дибутилбензол-1,2-дикарбонат                         ;  84-74-2   ;CHO                ;0,2;    общ.          ;3
 Дибутилбис[(1-оксододецил)окси]олово;  77-58-7   ;CHOSn              ;0,01;    с.-т.         ;2
 Дибутилгексан-1,6-диоат                              ; 105-99-7   ;СНО                ;0,1;    общ.          ;4
 Дибутилтиооксоолово                                  ; 4253-22-9  ;CHSSn              ;0,02;    с.-т.         ;2
 Дибутилдитиофосфат калия                             ; 3549-51-7  ;CHKOS              ;0,1;  орг.зап.        ;3
 Дибутилдитиофосфат натрия                            ;36245-44-0  ;CHNaOPS            ;0,2;    с.-т.         ;2
 Дибутилтиофосфат калия                               ;51825-87-7  ;CHKOPS             ;0,1;  орг.зап.        ;3
 Дибутилнафталинсульфонат натрия                      ;25414-20-3  ;CHNaOS             ;0,5;  орг.пена        ;3
 Дибутилоловооксид                                    ; 818-08-6   ;CHOSn              ;0,004;    с.-т.         ;2
 Дибутилфенилфосфат                                   ; 2528-36-1  ;СНОР               ;1,5;    общ.          ;3
 9,10-Дигидро-9,10-диоксоантрацен - 1,5-дисульфоновая кислота; 117-14-6   ;CHOS               ;5;    общ.          ;4
 9,10-Дигидро-9,10-диоксоантрацен - 1,8-дисульфоновая кислота;  82-48-4   ;CHOS               ;5;    общ.          ;4
 1,2-Дигидроксиантрацен-9,10-дион                     ;  72-48-0   ;CHO                ;3;    с.-т.         ;2
 1,4-Дигидроксиантрацен-9,10-дион                     ;  81-64-1   ;CHO                ;4;    с.-т.         ;2
 1,5-Дигидроксиантрацен-9,10-дион                     ; 117-12-4   ;CHO                ;0,1;  орг.окр.        ;3
 1,8-Дигидроксиантрацсн-9,10-дион                     ; 117-10-2   ;CHO                ;0,25;  орг.окр.        ;3
 1,2-Дигидроксибензол                                 ; 120-80-9   ;СНО                ;0,1;  орг.окр.        ;4
 1,3-Дигидроксибензол                                 ;81133-29-1  ;СНО                ;0,1;    общ.          ;4
 1,4-Дигидроксибензол                                 ; 123-31-9   ;СНО                ;0,2;  орг.окр.        ;4
 1,3-Дигидрокси-5-метилбензол гидрат                  ; 6153-39-5  ;CHO+ НО            ;1;  орг.окр.        ;4
 2,2-(4,4`-Дигидроксифенил)пропан                     ;  80-05-7   ;СНО                ;0,01; орг.привк.       ;4
 2,2`-Ди(гидроксиэтил)амин                            ; 111-42-2   ;CHNO               ;0,8; орг.привк.       ;4
 Ди(2-гидроксиэтил)метиламин                          ; 105-59-9   ;CHNO               ;1;    с.-т.         ;2
 5,6-Дигидро-4-метил-2Н-пиран                         ;16302-35-5  ;СНО                ;0,0001;    с.-т.         ;1
 9,10-Дигидро-1-нитро-9,10-диоксоантрацен-2-карбоновая кислота; 128-67-6   ;CHNO               ;2,5;    с.-т.         ;3
 1,2-Дигидропиридазин-3,6-дион натрия                 ;30681-31-3  ;CHNaNO             ;1;    общ.          ;4
 Дигидро-3,5,5-триметилциклогекс-2-ен-1-она пероксид;            ;СНО                ;0,1;    с.-т.         ;2
 Дигидрофуран-2-он                                    ;  96-48-0   ;CHO                ;5;    с.-т.         ;4
 6,7-Дигидро-3-циклогексил-1Н-циклопентапиримидин-2,4(3Н,5Н)-дион;01.08.2164;CHNO               ;0,2;    с.-т.         ;2
 (5альфа,6альфа)-7,8-Дидегидро-4,5-эпокси-17-метилморфинан-3,6-диол; 57-27-2    ;CHNO               ; отсутствие  ;    с.-т.         ;1
 (5альфа,6альфа)-7,8-Дидегидро-4,5-эпокси-3-метокси-17-метилморфинан-6-ол; 76-57-3    ;CHNO               ; отсутствие  ;    с.-т.         ;1
 N-[(Диметиламино)метил]проп-2-енамид;2627-98-7   ;CHN                ;2;    с.-т.         ;2
 2-(Диметиламино)этанол                               ; 108-01-0   ;CHNO               ;0,07;    общ.          ;4
 N,N-Диметилацетамид                                  ; 127-19-5   ;CHNO               ;0,4;    с.-т.         ;2
 Диметилбензол (смесь изомеров)                       ;1330-20-7   ;CH                 ;0,05;  орг.зап.        ;3
 Диметилбензол-1,2-дикарбонат                         ; 131-11-3   ;СНО                ;0,3;    с.-т.         ;3
 Диметилбензол-1,3-дикарбонат                         ;1459-93-4   ;СНО                ;0,1;    общ.          ;4
 Диметилбензол-1,4-дикарбонат                         ; 120-61-6   ;СНО                ;1,5;  орг.зап.        ;4
 3,3-Диметилбутан-2-он                                ; 75-97-8    ;СНО                ;0,04; орг.привк.       ;4
 O,O-Диметил-(1-гидрокси-2,2,2-трихлорэтил)фосфонат; 52-68-6    ;CHClOP             ;0,05;  орг.зап.        ;4
 O,O-Диметил-S-(4,6-диамино-1,3,5-триазин-2-илметил)дитиофосфат; 78-57-9    ;CHNOPS             ;0,1;    с.-т.         ;3
 5,5-Диметил-1,3-диоксан                              ; 872-98-0   ;СНО                ;0,005;    с.-т.         ;2
 1,1-Диметил-4,4`-дипиридилдиметилфосфат              ;            ;CHNOP              ;0,3;  орг.зап.        ;3
 Диметилдисульфид                                     ; 624-92-0   ;CHS                ;0,04;  орг.зап.        ;3
 Диметилдитиокарбамат аммония                         ;3226-36-6   ;CHNS               ;0,5;    с.-т.         ;3
 Диметилдитиокарбамат кальция                         ;20279-69-0  ;CHCaNS             ;0,5;    общ.          ;4
 Диметилдитиокарбамат натрия                          ; 128-04-1   ;CHNNaS             ;1;    общ.          ;4
 O,O-Диметилдитиофосфорная кислота                    ; 298-06-6   ;CHOPS              ;0,1;  орг.зап.        ;4
 5,5-Диметил-1,3-дихлоримидазолидин-2,4-дион          ; 118-52-5   ;CHClNO             ; отсутствие  ;    с.-т.         ;3
 O,O-Диметил-О-(2,5-дихлор-4-иодофенил)тиофосфат;18181-70-9  ;CHClIOPS           ;1;  орг.зап.        ;3
 O,O-Диметил-О-(2,2-дихлорэтенил)фосфат               ; 62-73-7    ;CHClOP             ;1;  орг.зап.        ;3
 2,5-Диметил-N,N-диэтилбензамид                       ;26906-15-0  ;CHNO               ;0,06;    общ.          ;4
 5,5-Диметилимидазолидин-2,4-дион; 77-71-4    ;CHNO               ;   1(д       ; орг.привк.       ;3
 1,3-Диметилкарбамид                                  ; 96-31-1    ;CHNO               ;1;    с.-т.         ;2
 2,2-Диметил-3-(2-карбоксипроп-1-енил)циклопропанкарбоновая кислота; 497-95-0   ;CHO                ;5;    с.-т.         ;3
 О,О-Диметил-S-карбэтоксиметилтиофосфат               ;2088-72-4   ;CHOPS              ;0,03;  орг.зап.        ;4
 O,O-Диметил-S-(2-(N-метиламино)-2-оксоэтил)дитиофосфат; 60-51-5    ;CHNOPS             ;0,03;  орг.зап.        ;4
 O,O-Диметил-S-2-оксоэтил]тио]этил]тиофосфат;2-[[1-метил-2-(метиламино)-           ;2275-23-2   ;CHNOPS             ;0,3;  орг.зап.        
 O,O-Диметил-O-(3-метил-4-нитрофенил)тиофосфат;            ;CHNOPS             ;0,25;  орг.зап.        ;3
 2,2-Диметил-3-(2-метилпроп-1-енил)циклопропанкарбонат натрия;52889-84-6  ;CHNaO              ;0,8;    общ.          ;4
 O,O-Диметил-О-(4-метилтио-3-метилфенил)тиофосфат; 55-38-9    ;CHOPS              ;0,001;  орг.зап.        ;4
 [2S-(2-альфа,5-альфа,6-бета)]-3,3-Диметил-6-[[(5-метил-3-фенил-4-изоксазолил)карбонил]амино]-7-оксо-4-тиа-1-азабицикло[3.2.0]гептан-2-карбоновая кислота; 66-79-5    ;CHNOS              ;0,02;    с.-т.         ;2
 O,O-Диметил-О-(4-нитрофенил)фосфат; 298-00-0   ;CHNOPS             ;0,02;  орг.зап.        ;4
 [2S-(2альфа,5альфа,6бета)]-3,3-Диметил-7-оксо-6-[(фенилацетил)амино]-4-тиа-1-азабицикло-[3,2,0]гептан-2-карбоновая кислота; 61-33-6    ;CHNOS              ;0,02;    с.-т.         ;2
 N,N-Диметил-N-октадецилбензолметанаминийхлорид; 122-19-0   ;CHCIN              ;0,1;    с.-т.         ;3
 2,5-Диметилпиридин                                   ; 589-93-5   ;CHN                ;             ;                  ;           
 Ди(2-метилпропил)-Z-бут-2-ендиоатдиоктилолово;            ;CHOSn              ;0,02;    с.-т.         ;2
 Ди(2-метилпропил)тиофосфат натрия                    ;10533-38-7  ;CHNaOPS            ;0,2;    с.-т.         ;2
 Диметилсульфид                                       ; 75-18-3    ;CHS                ;0,01;  орг.зап.        ;4
 Диметилсульфоксид                                    ; 67-68-5    ;CHOS               ;0,1;    общ.          ;3
 3,5-Диметилтетрагидро-2Н-1,3,5-тиадиазинтион-2; 533-74-4   ;CHNS               ;0,01;  орг.зап.        ;4
 Диметилтетрахлорбензол-1,4-дикарбонат                ;1861-32-1   ;CHCIOP             ;1;    с.-т.         ;3
 O,O-Диметил-О-[1-(2,3,4,5-тетрахлорфенил)-2-этенил]фосфат;            ;CHCIOP             ;0,2; орг.привк.       ;3
 1,1-Диметил-3-(3-трифторметилфенил)карбамид;2164-17-2   ;CHFNO              ;0,3;   орг.пл.        ;4
 (Z)-O,O-Диметил-О-(1-(2,4,5-трихлорфенил)-2-хлорвинил)фосфат;22248-79-9  ;CHClOP             ;0,3;    общ.          ;4
 N,N-Диметил-альфа-фенилбензацетамид                  ; 957-51-7   ;CHNO               ;1;    с.-т.         ;2
 N`-(2,4-Диметилфенил)-N-[(2,4-диметилфенил)имино)метил]метанимид;33089-61-1  ;CHN                ;0,05;  орг.зап.        ;4
 Диметил[1,2-фениленбис(иминокарбонотиоил)]бискарбамат;23564-06-9  ;CHNOS              ;0,5; орг.привк.       ;3
 N,N`-Диметил-N-фенилкарбамид                         ; 101-42-8   ;CHNO               ;0,2;    общ.          ;4
 (Диметилфенил)-1-фенилэтан (смесь изомеров)          ;            ;CH                 ;0,02;    с.-т.         ;2
 5-(2,5-Диметилфенокси)-2,2-диметилпентановая кислота;25812-30-0  ;CHO                ;0,001;    с-т.          ;1
 Диметилформамид                                      ; 68-12-2    ;CHNO               ;10;     общ          ;4
 O,O-Диметил-S-(2-(формилметиламино)-2-оксоэтилдитиофосфат;2540-82-1   ;CHNOPS             ;0,004;  орг.зап.        ;4
 O,O-Диметил-S-(фталимидо)метилдитиофосфат                                       ; 732-11-6   ;CHNOPS             ;0,2; орг.привк.       ;3
 Диметилхлортиофосфат                                 ;2524-03-0   ;CHClOPS            ;0,07;  орг.зап.        ;3
 N,N-Диметил-N`-(3-хлорфенил)гуанидин;            ;CHCIN              ;0,003; орг.привк.       ;4
 N`,N`-Диметил-N-(2-хлорфенил)карбамид;            ;CHClNO             ;5;   орг.пл.        ;4
 3,3-Диметил-1-хлор-1-(4-хлорфенокси)бутан-2-он;57000-78-9  ;CHClO              ;0,04;    с.-т.         ;4
 N,N-Диметил-1-(2-хлорэтил)гидразинийхлорид;            ;CHClN              ;1;    с.-т.         ;2
 O,O-Диметил-О-(4-цианфенил)тиофосфат;2636-26-2   ;CHNOPS             ;0,05;  орг.зап.        ;4
 N,N-Диметилэтандиоламин                              ;            ;CHNO               ;0,07;    общ.          ;4
 2,3-Диметил-6-этенилпиридиний метилсульфат           ;            ;CHN +CHOS          ;4;    с.-т.         ;2
 1,3-Ди(1-метилэтил)бензол                            ; 99-62-7    ;СН                 ;0,05;    с-т.          ;2
 1,4-Ди(1-метилэтил)бензол                            ; 100-18-5   ;СН                 ;0,05;    с.-т          ;2
 Ди(1-метилэтил)гуанидин                              ;38588-65-7  ;CHN                ;1;    общ.          ;4
 Ди(1-метилэтил)дитиофосфат калия                     ;3419-34-9   ;CHKOPS             ;0,02;  орг.зап.        ;4
 1-(1,1-Диметилэтил)-4-метилбензол                    ; 98-51-1    ;CH                 ;0,5;  орг.зап.        ;3
 4-(1,1-Диметилэтил)-1-метил-2,3,6-трихлорбензол;            ;CHCl               ;0,1;  орг.зап.        ;4
 4-(1,1-Диметилэтил)-1-метил-2-хлорбензол;42597-10-4  ;CHCl               ;0,002;  орг.зап.        ;4
 N,N-Ди(2-метилэтил)-2-метилэтиламин;            ;CHN                ;0,5;    с.-т.         ;2
 O,O-Диметил-S-(2-этилтиоэтил)дитиофосфат; 640-15-3   ;CHOPS              ;0,001;  орг.зап.        ;4
 [S-(R*,S*)]-6,7-Диметокси-3-(5,6,7,8-тетрагидро-4-метокси-6-метил-1,3-диоксоло-[4,5-g]изохинолин-5-ил)-1(ЗН)-изoбeнзoфypaнoн; 128-62-1   ;CHNO               ; отсутствие  ;    с.-т.         ;1
 5-[[(3,4-Диметоксифенил)этил]метиламино]-2-(3,4-диметоксифенил)-2-(1-метилэтил)-пентанонитрил гидрохлорид;23313-68-0  ;CHNO + ClH         ;0,001;    с.-т.         ;1
 Динитробензол                                        ;25154-54-5  ;CHNO               ;0,5;  орг.зап.        ;4
 2,4-Динитро-2,4-диазопентан                          ;13232-00-3  ;CHNO               ;0,02;    с.-т.         ;2
 Динитро-3,6-диоксаоктан-1,8-диол                     ;            ;CHNO               ;1;    с.-т.         ;3
 2,6-Динитро-1-(дипропиламино)-4-(трифторметил)бензол;1582-09-8   ;CHFNO              ;1;  орг.зап.        ;4
 2,6-Динитро-N,N-диэтил-4-(трифторметил)бензоламин;5254-27-3   ;CHFNO              ;1;  орг.зап.        ;4
 2,4-Динитрометилбензол                               ; 121-14-2   ;CHNO               ;0,5;    с.-т.         ;2
 Динитронафталин                                      ;27478-34-8  ;CHNO               ;1;  орг.окр.        ;4
 2,4-Динитро-N-(4-нитрофенил)бензамид;59651-98-8  ;CHNO               ;0,02;    с.-т.         ;2
 2,4-Динитрофенилтиоцианат                            ;1594-56-5   ;CHNOS              ;0,5;    общ.          ;4
 2,4-Динитро-1-хлорбензол                             ; 97-00-7    ;CHClNO             ;0,5;  орг.зап.        ;3
 3,6-Диоксаоктан-1,8-диол                             ; 111-21-7   ;СНО                ;0,5;    общ.          ;3
 Диоктилдекан-1,10-диоат                              ;2432-87-3   ;СНО                ;0,1;    общ.          ;4
 Дипиридилфосфат                                      ;            ;CHN+ НРО           ;0,3;  орг.зап.        ;4
 2,4-Дипиридиний-N-метилметиленсалигенилдихлорид;            ;CHClNO             ;0,5;    общ.          ;3
 Дифалон                                              ;            ;                   ;5; орг.привк.       ;4
 Дифениламин                                          ; 122-39-4   ;CHN                ;0,05;  орг.зап.        ;3
 Дифенилацетилхлорид                                  ;            ;CHClO              ;0,1;    общ.          ;4
 O,O-Дифенил-1-гидрокси-2,2,2-трихлорэтилфосфонат;38457-67-9  ;CHClOP             ;0,3;  орг.пена        ;3
 1,3-Дифенилгуанидин                                  ; 102-06-7   ;CHN                ;1;    общ.          ;3
 1,3-Дифенилгуанидин гидрохлорид                      ;            ;CHN + ClH          ;1;    общ.          ;3
 N,N`-Дифениларбамид                                  ; 102-07-8   ;CHNO               ;0,2;  орг.зап.        ;4
 Дифтордихлорметан                                    ; 75-71-8    ;CClF               ;10;    с.-т.         ;2
 Дифторхлорметан                                      ; 75-45-6    ;CHClF              ;10;    с.-т.         ;2
 2,5 -Дихлораминобензол                               ; 95-82-9    ;CHClN              ;0,05;  орг.зап.        ;4
 2,6-Дихлораминобензол                                ; 608-31-1   ;CHClN              ;0,05;    орг.          ;3
 3,4-Дихлораминобензол                                ; 95-76-1    ;CHClN              ;0,05;  орг.зап.        ;4
 1,2-Дихлорбензол                                     ; 95-50-1    ;CHCl               ;0,002;  орг.зап.        ;3
 1,4-Дихлорбензол                                     ; 106-46-7   ;CHCl               ;0,002;   орг.зап        ;3
 Дихлор-1,1-бифенил                                   ;            ;CHCl               ;0,001;    с.-т.         ;2
 2,3-Дихлорбута-1,3-диен                              ;1653-19-6   ;CHCl               ;0,03;    с-т.          ;2
 3,4-Дихлорбут-1-ен                                   ;11069-19-5  ;CHCl               ;0,2;    с.-т.         ;2
 1,3-Дихлорбут-2-ен                                   ; 926-57-8   ;CHCl               ;0,05;  орг.зап.        ;4
 1,5-Дихлор-9,10-дигидроантрацен-9,10-дион; 82-46-2    ;CHClO              ;1;    общ.          ;3
 1,1-Дихлор-2-гидрокси-4-метилпент-4-ен;            ;СНО                ;0,15; орг.привк.       ;3
 Дихлордибутилолово                                   ; 683-18-1   ;CHClSn             ;0,002;    с-т.          ;2
 1,4-Дихлор-2-(1,1-диметилэтил)-5-метилбензол;61468-35-7  ;CHCl               ;0,003;  орг.зап.        ;3
 4,5-Дихлор-2-(дихлорметилен)циклопент-4-ен-1,3-дион;18964-31-3  ;CClO               ;0,1;  орг.зап.        ;3
 Дихлордиэтилолово                                    ; 866-55-7   ;CHClSn             ;0,002;    с.-т.         ;2
 Дихлоркарбоновые кислоты С17-20                      ;            ;                   ;1;    общ.          ;4
 Дихлорметан                                          ; 75-09-2    ;CHCl               ;0,02;    с-т.          ;1
 2,4-Дихлор-1-метилбензол                             ; 95-73-8    ;CHCl               ;0,03;  орг.зап.        ;3
 4-(Дихлорметилен)-1,2,3,3,5,5-гексахлорциклопентен;03.05.3424;CHCl               ;0,05;  орг.зап.        ;4
 1,1-Дихлор-4-метилпента-1,3-диен                     ;55667-43-1  ;CHCl               ;0,4;  орг.зап.        ;3
 1,1-Дихлор-4-метилпента-1,4-диен                     ;62434-98-4  ;CHCl               ;0,37; орг.привк.       ;3
 3,3-Дихлор-2-метил-1-пропен                          ;22227-75-4  ;CHCl               ;0,4;    с-т.          ;2
 2,3-Дихлор-1,4-нафтохинон                            ; 117-80-6   ;CHClO              ;0,25;    с-т.          ;2
 2,5-Дихлор-З-нитробензойная кислота                  ; 88-86-8    ;CHClNO             ;2;    с.-т.         ;2
 1,4-Дихлор-2-нитробензол                             ; 89-61-2    ;CHClNO             ;0,1;    с.-т.         ;2
 1,2-Дихлор-4-нитробензол                             ; 99-54-7    ;CHClNO             ;0,1;    с.-т.         ;3
 2,6-Дихлор-4-нитробензоламин                         ; 99-30-9    ;CHClNO             ;0,1;  орг.окр.        ;3
 (Z)-2,3-Дихлор-4-оксобут-2-еновая кислота            ; 87-56-9    ;CHClO              ;1;    с-т.          ;2
 1,2-Дихлорпропан                                     ; 78-87-5    ;CHCl               ;0,02;    с.-т.         ;2
 1,3-Дихлорпропан-2-ол                                ; 96-23-1    ;CHClO              ;1;  орг.зап.        ;3
 1,3-Дихлорпроп-1-ен                                  ; 542-75-6   ;CHCl               ;0,02;    с.-т.         ;1
 2,3-Дихлорпроп-1-ен                                  ; 78-88-6    ;CHCl               ;0,4;    с.-т.         ;2
 (2,3-Дихлорпроп-2-енил)(1-метилэтил)тиокарбамат;            ;CHClNOS            ;0,03;  орг.зап.        ;4
 Дихлорпропил(2-этилгексил)фосфат                     ;            ;CHClOP             ;6;    орг.          ;4
 2,2-Дихлорпропионат натрия                           ; 75-99-0    ;CHClO              ;2;  орг.зап.        ;3
 Дихлортрис(гексагидро-2Н-азепин-2-он-О-)медь;13978-70-6  ;CHClCuNO           ;0,1;    общ.          ;4
 N-(3,4-Дихлорфенил)аланин                            ;5472-67-3   ;CHClNO             ;0,1;    общ.          ;4
 N`-(3,4-Дихлорфенил)-N,N-диметилкарбамид             ; 330-54-1   ;CHClNO             ;1;  орг.зап.        ;4
 N-(3,4-Дихлорфенил)-N`-метоксиметилкарбамид          ; 330-55-2   ;CHClNO             ;1;    с.-т.         ;2
 2,4-Дихлорфенил-4-нитрофениловый эфир;1836-75-5   ;CHClNO             ;4;    с.-т.         ;2
 4,5-Дихлорфенил-1-пиридаз-6-он                       ;            ;CHClNO             ;2;    с.-т.         ;3
 N-(3,4-Дихлорфенил)пропанамид                        ; 709-98-8   ;CHClNO             ;0,1;    общ.          ;4
 О-(2,4-Дихлорфенил)-О-этилхлортиофосфат;18351-18-3  ;CHClOPS            ;0,05;    общ.          ;4
 О-(2,4-Дихлорфенил)-S-пропил-О-этилдитиофосфат;34643-46-4  ;CHClOPS            ;0,05;  орг.зап.        ;3
 Дихлорфенилфосфат                                    ; 770-12-7   ;CHClOP             ;0,5;    общ.          ;3
 (2,4-Дихлорфенокси)ацетат аммония                    ;2307-55-3   ;CHClNO             ;0,2; орг.привк.       ;3
 (2,4-Дихлорфенокси)ацетат натрия                     ;2702-72-9   ;CHClNaO            ;1;  орг.зап.        ;4
 4-(2,4-Дихлорфенокси)бутановая кислота               ; 94-82-6    ;CHClO              ;0,01;    с.-т.         ;2
 2-(2,4-Дихлорфенокси)пропионовая кислота             ; 120-36-5   ;CHClO              ;0,5; орг.привк.       ;3
 3,4-Дихлорфуран-2,5-дион                             ;42595-14-2  ;CClO               ;0,1;    с.-т.         ;2
 1,1-Дихлорциклогексан                                ;2108-92-1   ;CHCl               ;0,02;  орг.зап.        ;3
 1,1-Дихлорэтен                                       ; 75-35-4    ;CHCl               ;0,03;    с.-т.         ;2
 Дициандиамид                                         ; 461-58-5   ;CHN                ;10; орг.привк.       ;4
 1,4-Дицианобутан                                     ; 111-69-3   ;CHN                ;0,1;    с.-т.         ;2
 Дициклогексиламина нитрит                            ;3129-91-7   ;CHNO               ;0,01;    с.-т.         ;2
 Дициклогексилоловооксид                              ;22771-17-1  ;CHOSn              ;0,001;    с.-т.         ;2
 1,4-Ди(2,3-эпоксипропил)-3-метил-1,2,4-триазол-5-он;            ;CHNO               ;0,5;    с.-т.         ;2
 Диэтенилгексан-1,6-диоат                             ;4074-90-2   ;CHO                ;0,2;    общ.          ;4
 Диэтенилсульфид                                      ; 627-51-0   ;CHS                ;0,5;  орг.зап.        ;3
 Диэтиламин                                           ; 109-89-7   ;CHN                ;2;    с.-т.         ;3
 N,N-Диэтиламинобензол                                ; 91-66-7    ;CHN                ;0,15;  орг.окр.        ;3
 Диэтиламинометиловый эфир синтетических жирных спиртов C10-18;            ;                   ;0,15;    с.-т.         ;2
 2-(Диэтиламино)-N-(2,6-диметилфенил)ацетамид, гидрохлорид моногидрат;6108-05-0   ;CHNO + ClH +HO     ;1;    с.-т.         ;3
 N-(Диэтиламино)метил-N`-этилкарбамид;            ;CHNO               ;4;  орг.зап.        ;4
 N,N-Диэтиламино-4-нитробензол                        ;2216-15-1   ;CHNO               ;0,002;  орг.окр.        ;3
 2-(N,N-Диэтиламино)этантиол                          ; 100-38-9   ;CHNS               ;0,1;  орг.зап.        ;4
 О,О-Диэтил-S-бензилтиофосфат                         ;13286-32-3  ;CHOPS              ;0,05;    с.-т.         ;2
 1,3-Диэтилбензол                                     ;25340-14-4  ;CH                 ;0,04;  орг.зап.        ;4
 N,N-Диэтилбензол-1,4-диамин сульфат (1:1)                         ;6283-63-2   ;CHN + HOS          ;0,1;    с.-т.         ;2
 Диэтилбис(октаноилокси)олово                         ;2641-56-7   ;CHOSn              ;0,01;    с.-т.         ;2
 (Z)-Диэтилбутендиоат                                 ; 141-05-9   ;CHO                ;1;    с.-т.         ;2
 Ди(2-этилгексил)бензол-1,2-дикарбонат                ; 117-81-7   ;СНО                ;0,008;    с.-т.         ;2
 Ди(2-этилгексил)гексан-1,6-диоат                     ; 103-23-1   ;CHO                ;0,08;    с.-т.         ;2
 Ди(2-этилгексил)-2,2-(дибутилолово)бис(тио)бис(ацетат);25168-24-5  ;CHOSSn             ;0,01;    с.-т.         ;2
 N,N-Ди(2-этилгексил)-2-этилгексанамин;25549-16-0  ;CHN                ;0,025;    с.-т.         ;2
 1,2-Диэтилгуанидин                                   ;18240-93-2  ;CHN                ;0,3;    общ.          ;3
 1,2-Диэтилгуанидин гидрохлорид                       ;            ;CHN + ClH          ;0,8;    с.-т.         ;3
 Диэтил[(диметоксифосфинотионил)тио]бутандиоат; 121-75-5   ;CHOPS              ;0,05;  орг.зап.        ;4
 Диэтилдитиокарбамат натрия                           ; 148-18-5   ;CHNNaS             ;0,5;    общ.          ;3
 Диэтилдитиофосфат калия                              ;3454-66-8   ;СНКОР              ;0,5;  орг.зап.        ;3
 Диэтилдитиофосфат                                    ; 298-06-6   ;CHOPS              ;0,2;  орг.зап.        ;4
 N,N-Диэтилкарбамилхлорид                             ; 88-10-8    ;CHClNO             ;6;    с.-т.         ;2
 O,O-Диэтил-S-карбэтоксиметилтиофосфат;2425-25-4   ;CHOPS              ;0,03;  орг.зап.        ;4
 N,N-Диэтил-2-(1-нафталенилокси)пропанамид            ;15299-99-7  ;CHNO               ;1;    с.-т.         ;2
 О,О-Диэтил-O-(4-нитрофенил)тиофосфат                 ; 56-38-2    ;CHNOPS             ;0,003;  орг.зап.        ;4
 Диэтилртуть                                          ; 627-44-1   ;CHHg               ;0,0001;    с.-т.         ;1
 Диэтилфениларбамид                                   ;            ;CHNO               ;0,5; орг.привк.       ;4
 О,О-Диэтилхлортиофосфат                              ;01.04.2524;CHClOPS            ;0,05;  орг.зап.        ;4
 N,N-Диэтилэтанамин                                   ; 121-44-8   ;CHN                ;2;    с.-т.         ;2
 O-(Диэтокситиофосфорил)-альфа-цианометилбензальдоксим;14816-18-3  ;CHNOPS             ;1;  орг.зап.        ;3
 1,1-Диэтоксиэтан                                     ; 105-57-7   ;CHO                ;0,1;  орг.зап.        ;4
 ДКS-70                                               ;            ;                   ;0,1;  орг.пена        ;4
 DH-75 (диспергатор)                                  ;            ;                   ;0,1;  орг.пена        ;4
 Додекан-1,12-диамин                                  ;2783-17-7   ;CHN                ;0,05;    с.-т.         ;3
 2,2,3,3,4,4,5,5,6,6,7,7-Додекафторгептановая кислота;1546-95-8   ;CHFO               ;1;    с.-т.         ;2
 2,2,3,3,4,4,5,5,6,6,7,7-Додекафторгептан-1-ол; 335-99-9   ;CHFO               ;0,1;  орг.зап.        ;4
 (Z)-Додец-8-енилацетат                               ;28079-04-1  ;СНО                ;0,00001;  орг.зап.        ;4
 Додециламинопропионитрил                             ;            ;CHN                ;0,07;  орг.зап.        ;4
 Додецилпропилендиамин                                ;            ;CHN                ;0,1;  орг.зап.        ;3
 ДЦМ (закрепитель, продукт конденсации дициандиамина с формальдегидом и 10% ацетата меди);            ;                   ;0,5; орг.привк.       ;4
 ДЦУ (закрепитель, продукт конденсации дициандиамида с формальдегидом);            ;                   ;1;    общ.          ;4
 Желатина техническая                                 ;            ;                   ;0,1;    общ.          ;4
 Железо (включая хлорное железо);            ;Fe;0,3;  орг.окр.        ;3
  Жирные кислоты синтетические С5-20             ;            ;                   ;0,1;    общ.          ;4
  Загуститель акриловый водорастворимый                       ;            ;                   ;1;    общ.          ;3
  Замасливатель А-1                              ;            ;                   ;0,4;   орг.пл.        ;4
  Замасливатель Б-73                             ;            ;                   ;3;   орг.пл.        ;4
  Замасливатель БВ                               ;            ;                   ;1;  орг.зап.        ;4
  7-(2-Имидазолинил)-4 7-гексафтордиметил-3,6-диоксагептилсульфамид этилендиамина;            ;CHFNOS             ;1;    с-т.          ;2
  7-2-(Имидазолинил)-4,7-гексафтордиметил-3,6-диоксагептилсульфонат калия;            ;CHFKOS             ;1;    с-т.          ;2
  1,1`-Иминобис(пропан-2-ол)                     ; 110-97-4   ;CHNO               ;0,5;    с-т.          ;2
  Ингибитор древесносмоляной прямой гонки;            ;                   ;0,001;  орг.зап.        ;3
  Ингибитор СНПХ 6004                            ;            ;                   ;0,03; орг.привк.       ;3
  Ингибитор СНПХ 7401                            ;            ;                   ;0,7;  орг.зап.        ;3
  Ингибитор солеотложения фосфатный SP-181;            ;                   ;0,5;    общ.          ;3
  Ингибитор солеотложения фосфатный SP-191;            ;                   ;0,5;    общ.          ;3
  Ингибитор солеотложения фосфатный SP-203;            ;                   ;0,5;    общ.          ;3
